Gene,EntrezID,Gene description,Concentration,Concentration(ng/L)
SUCLG1,8802,Succinate-CoA ligase GDP/ADP-forming subunit alpha,350 ng/L,350
LAIR1,3903,Leukocyte associated immunoglobulin like receptor 1,350 ng/L,350
MZB1,51237,Marginal zone B and B1 cell specific protein,350 ng/L,350
MPI,4351,Mannose phosphate isomerase,350 ng/L,350
SHPK,23729,Sedoheptulokinase,350 ng/L,350
EIF4B,1975,Eukaryotic translation initiation factor 4B,340 ng/L,340
RDH11,51109,Retinol dehydrogenase 11,340 ng/L,340
REXO2,25996,RNA exonuclease 2,340 ng/L,340
GSTZ1,2954,Glutathione S-transferase zeta 1,340 ng/L,340
PTGFRN,5738,Prostaglandin F2 receptor inhibitor,340 ng/L,340
GDF11,10220,Growth differentiation factor 11,340 ng/L,340
ADM,133,Adrenomedullin,340 ng/L,340
VEGFC,7424,Vascular endothelial growth factor C,340 ng/L,340
RGS18,64407,Regulator of G protein signaling 18,340 ng/L,340
ESM1,11082,Endothelial cell specific molecule 1,340 ng/L,340
PCDH7,5099,Protocadherin 7,340 ng/L,340
BSG,682,Basigin (Ok blood group),340 ng/L,340
IMPDH2,3615,Inosine monophosphate dehydrogenase 2,340 ng/L,340
RPS17,6218,Ribosomal protein S17,340 ng/L,340
PNLIPRP1,5407,Pancreatic lipase related protein 1,340 ng/L,340
SULF2,55959,Sulfatase 2,340 ng/L,340
LRBA,987,LPS responsive beige-like anchor protein,340 ng/L,340
LAYN,143903,Layilin,340 ng/L,340
SMIM1,388588,Small integral membrane protein 1 (Vel blood group),340 ng/L,340
PSMB9,5698,Proteasome 20S subunit beta 9,340 ng/L,340
SARS1,6301,Seryl-tRNA synthetase 1,330 ng/L,330
COL5A3,50509,Collagen type V alpha 3 chain,330 ng/L,330
CTSG,1511,Cathepsin G,330 ng/L,330
APEX1,328,Apurinic/apyrimidinic endodeoxyribonuclease 1,330 ng/L,330
SPRING1,79794,SREBF pathway regulator in golgi 1,330 ng/L,330
EIF4G1,1981,Eukaryotic translation initiation factor 4 gamma 1,330 ng/L,330
ECRG4,84417,ECRG4 augurin precursor,330 ng/L,330
LYPLA1,10434,Lysophospholipase 1,330 ng/L,330
COPB1,1315,COPI coat complex subunit beta 1,330 ng/L,330
VLDLR,7436,Very low density lipoprotein receptor,330 ng/L,330
HNRNPDL,9987,Heterogeneous nuclear ribonucleoprotein D like,330 ng/L,330
GUSB,2990,Glucuronidase beta,330 ng/L,330
SCG2,7857,Secretogranin II,330 ng/L,330
SLITRK1,114798,SLIT and NTRK like family member 1,330 ng/L,330
MPIG6B,80739,Megakaryocyte and platelet inhibitory receptor G6b,330 ng/L,330
DERA,51071,Deoxyribose-phosphate aldolase,320 ng/L,320
CDH19,28513,Cadherin 19,320 ng/L,320
VSIR,64115,V-set immunoregulatory receptor,320 ng/L,320
PPIF,10105,Peptidylprolyl isomerase F,320 ng/L,320
LAMA4,3910,Laminin subunit alpha 4,320 ng/L,320
TFG,10342,Trafficking from ER to golgi regulator,320 ng/L,320
STMN1,3925,Stathmin 1,320 ng/L,320
GNA13,10672,G protein subunit alpha 13,320 ng/L,320
SDC4,6385,Syndecan 4,320 ng/L,320
CSE1L,1434,Chromosome segregation 1 like,320 ng/L,320
SNRPC,6631,Small nuclear ribonucleoprotein polypeptide C,320 ng/L,320
RRBP1,6238,Ribosome binding protein 1,320 ng/L,320
KLB,152831,Klotho beta,320 ng/L,320
RPS6,6194,Ribosomal protein S6,320 ng/L,320
RPS2,6187,Ribosomal protein S2,320 ng/L,320
PRPS1,5631,Phosphoribosyl pyrophosphate synthetase 1,320 ng/L,320
CZIB,54987,CXXC motif containing zinc binding protein,320 ng/L,320
AZU1,566,Azurocidin 1,320 ng/L,320
DSG4,147409,Desmoglein 4,320 ng/L,320
MME,4311,Membrane metalloendopeptidase,320 ng/L,320
HSPB6,126393,Heat shock protein family B (small) member 6,310 ng/L,310
SEZ6,124925,Seizure related 6 homolog,310 ng/L,310
TPD52,7163,Tumor protein D52,310 ng/L,310
DDX5,1655,DEAD-box helicase 5,310 ng/L,310
IDE,3416,Insulin degrading enzyme,310 ng/L,310
IMPA1,3612,Inositol monophosphatase 1,310 ng/L,310
MEP1B,4225,Meprin A subunit beta,310 ng/L,310
FBLN7,129804,Fibulin 7,310 ng/L,310
TPBG,7162,Trophoblast glycoprotein,310 ng/L,310
ATP6V1B2,526,ATPase H+ transporting V1 subunit B2,310 ng/L,310
RPL30,6156,Ribosomal protein L30,310 ng/L,310
CACHD1,57685,Cache domain containing 1,310 ng/L,310
ARF6,382,ADP ribosylation factor 6,310 ng/L,310
CLMP,79827,CXADR like membrane protein,310 ng/L,310
LYNX1,66004,Ly6/neurotoxin 1,310 ng/L,310
UNC5C,8633,Unc-5 netrin receptor C,310 ng/L,310
NHLRC3,387921,NHL repeat containing 3,310 ng/L,310
NOC2L,26155,NOC2 like nucleolar associated transcriptional repressor,310 ng/L,310
MGAM,8972,Maltase-glucoamylase,310 ng/L,310
KIF2A,3796,Kinesin family member 2A,300 ng/L,300
FAT2,2196,FAT atypical cadherin 2,300 ng/L,300
PSMC6,5706,"Proteasome 26S subunit, ATPase 6",300 ng/L,300
GALNT18,374378,Polypeptide N-acetylgalactosaminyltransferase 18,300 ng/L,300
SCLY,51540,Selenocysteine lyase,300 ng/L,300
PDGFRA,5156,Platelet derived growth factor receptor alpha,300 ng/L,300
USP15,9958,Ubiquitin specific peptidase 15,300 ng/L,300
RPS3A,6189,Ribosomal protein S3A,300 ng/L,300
MTDH,92140,Metadherin,300 ng/L,300
ADAM17,6868,ADAM metallopeptidase domain 17,300 ng/L,300
GART,2618,"Phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase",300 ng/L,300
PTMS,5763,Parathymosin,300 ng/L,300
S100B,6285,S100 calcium binding protein B,300 ng/L,300
FUBP1,8880,Far upstream element binding protein 1,300 ng/L,300
PEA15,8682,Proliferation and apoptosis adaptor protein 15,300 ng/L,300
SUCLG2,8801,Succinate-CoA ligase GDP-forming subunit beta,300 ng/L,300
OXSR1,9943,Oxidative stress responsive kinase 1,300 ng/L,300
PITPNB,23760,Phosphatidylinositol transfer protein beta,300 ng/L,300
CPNE1,8904,Copine 1,300 ng/L,300
HEBP1,50865,Heme binding protein 1,290 ng/L,290
MYOM2,9172,Myomesin 2,290 ng/L,290
RPL18,6141,Ribosomal protein L18,290 ng/L,290
HSD17B10,3028,Hydroxysteroid 17-beta dehydrogenase 10,290 ng/L,290
PAFAH1B3,5050,Platelet activating factor acetylhydrolase 1b catalytic subunit 3,290 ng/L,290
PCSK5,5125,Proprotein convertase subtilisin/kexin type 5,290 ng/L,290
SNRPD3,6634,Small nuclear ribonucleoprotein D3 polypeptide,290 ng/L,290
GRAP2,9402,GRB2 related adaptor protein 2,290 ng/L,290
COL21A1,81578,Collagen type XXI alpha 1 chain,290 ng/L,290
ANXA7,310,Annexin A7,290 ng/L,290
RPS8,6202,Ribosomal protein S8,290 ng/L,290
S100A1,6271,S100 calcium binding protein A1,290 ng/L,290
FCRL1,115350,Fc receptor like 1,290 ng/L,290
ENPP6,133121,Ectonucleotide pyrophosphatase/phosphodiesterase 6,290 ng/L,290
SYK,6850,Spleen associated tyrosine kinase,290 ng/L,290
PSMC3,5702,"Proteasome 26S subunit, ATPase 3",290 ng/L,290
RPL15,6138,Ribosomal protein L15,290 ng/L,290
PCCA,5095,Propionyl-CoA carboxylase subunit alpha,290 ng/L,290
DPM3,54344,"Dolichyl-phosphate mannosyltransferase subunit 3, regulatory",290 ng/L,290
ADSS1,122622,Adenylosuccinate synthase 1,290 ng/L,290
CELSR1,9620,Cadherin EGF LAG seven-pass G-type receptor 1,280 ng/L,280
HAL,3034,Histidine ammonia-lyase,280 ng/L,280
EIF3J,8669,Eukaryotic translation initiation factor 3 subunit J,280 ng/L,280
AMH,268,Anti-Mullerian hormone,280 ng/L,280
LIPA,3988,"Lipase A, lysosomal acid type",280 ng/L,280
CD244,51744,CD244 molecule,280 ng/L,280
LOXL1,4016,Lysyl oxidase like 1,280 ng/L,280
RGN,9104,Regucalcin,280 ng/L,280
TPP2,7174,Tripeptidyl peptidase 2,280 ng/L,280
EIF4A3,9775,Eukaryotic translation initiation factor 4A3,280 ng/L,280
ANP32E,81611,Acidic nuclear phosphoprotein 32 family member E,280 ng/L,280
G3BP1,10146,G3BP stress granule assembly factor 1,280 ng/L,280
ADGRA3,166647,Adhesion G protein-coupled receptor A3,280 ng/L,280
CARHSP1,23589,Calcium regulated heat stable protein 1,280 ng/L,280
IGSF8,93185,Immunoglobulin superfamily member 8,280 ng/L,280
RNASE7,84659,Ribonuclease A family member 7,280 ng/L,280
ATP5ME,521,ATP synthase membrane subunit e,280 ng/L,280
SLC9A9,285195,Solute carrier family 9 member A9,280 ng/L,280
TSN,7247,Translin,280 ng/L,280
ADGRA2,25960,Adhesion G protein-coupled receptor A2,270 ng/L,270
CDH10,1008,Cadherin 10,270 ng/L,270
PPP1R12A,4659,Protein phosphatase 1 regulatory subunit 12A,270 ng/L,270
PTPN18,26469,Protein tyrosine phosphatase non-receptor type 18,270 ng/L,270
SNX3,8724,Sorting nexin 3,270 ng/L,270
ARPP19,10776,CAMP regulated phosphoprotein 19,270 ng/L,270
SIGLEC9,27180,Sialic acid binding Ig like lectin 9,270 ng/L,270
CASQ1,844,Calsequestrin 1,270 ng/L,270
ADAMTSL3,57188,ADAMTS like 3,270 ng/L,270
FCER1G,2207,Fc fragment of IgE receptor Ig,270 ng/L,270
BROX,148362,BRO1 domain and CAAX motif containing,270 ng/L,270
CYTL1,54360,Cytokine like 1,270 ng/L,270
CTSW,1521,Cathepsin W,270 ng/L,270
IST1,9798,IST1 factor associated with ESCRT-III,270 ng/L,270
RPL14,9045,Ribosomal protein L14,270 ng/L,270
SPN,6693,Sialophorin,270 ng/L,270
S100A10,6281,S100 calcium binding protein A10,270 ng/L,270
DDX39B,7919,DExD-box helicase 39B,270 ng/L,270
MATR3,9782,Matrin 3,260 ng/L,260
KITLG,4254,KIT ligand,260 ng/L,260
VAMP3,9341,Vesicle associated membrane protein 3,260 ng/L,260
CAD,790,"Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",260 ng/L,260
SIGLEC1,6614,Sialic acid binding Ig like lectin 1,260 ng/L,260
RPS19,6223,Ribosomal protein S19,260 ng/L,260
LIFR,3977,LIF receptor subunit alpha,260 ng/L,260
HTRA2,27429,HtrA serine peptidase 2,260 ng/L,260
BST2,684,Bone marrow stromal cell antigen 2,260 ng/L,260
ITGA11,22801,Integrin subunit alpha 11,260 ng/L,260
SLC16A3,9123,Solute carrier family 16 member 3,260 ng/L,260
ADD3,120,Adducin 3,260 ng/L,260
ASAP2,8853,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",260 ng/L,260
DEFA6,1671,Defensin alpha 6,260 ng/L,260
OLFML1,283298,Olfactomedin like 1,260 ng/L,260
PURA,5813,Purine rich element binding protein A,260 ng/L,260
S100A14,57402,S100 calcium binding protein A14,260 ng/L,260
TOR4A,54863,Torsin family 4 member A,260 ng/L,260
GALT,2592,Galactose-1-phosphate uridylyltransferase,260 ng/L,260
DDX3X,1654,DEAD-box helicase 3 X-linked,260 ng/L,260
EIF6,3692,Eukaryotic translation initiation factor 6,260 ng/L,260
UQCRC1,7384,Ubiquinol-cytochrome c reductase core protein 1,250 ng/L,250
PSMD5,5711,"Proteasome 26S subunit, non-ATPase 5",250 ng/L,250
PSMD10,5716,"Proteasome 26S subunit, non-ATPase 10",250 ng/L,250
PLP2,5355,Proteolipid protein 2,250 ng/L,250
PCDHB15,56121,Protocadherin beta 15,250 ng/L,250
TP53I3,9540,Tumor protein p53 inducible protein 3,250 ng/L,250
CSRP3,8048,Cysteine and glycine rich protein 3,250 ng/L,250
LY96,23643,Lymphocyte antigen 96,250 ng/L,250
HPGDS,27306,Hematopoietic prostaglandin D synthase,250 ng/L,250
PAFAH1B2,5049,Platelet activating factor acetylhydrolase 1b catalytic subunit 2,250 ng/L,250
TBC1D10B,26000,TBC1 domain family member 10B,250 ng/L,250
RPS21,6227,Ribosomal protein S21,250 ng/L,250
CADM2,253559,Cell adhesion molecule 2,250 ng/L,250
VWA1,64856,Von Willebrand factor A domain containing 1,250 ng/L,250
FAM3B,54097,FAM3 metabolism regulating signaling molecule B,250 ng/L,250
PGP,283871,Phosphoglycolate phosphatase,250 ng/L,250
SIRPB2,284759,Signal regulatory protein beta 2,250 ng/L,250
SLC39A10,57181,Solute carrier family 39 member 10,250 ng/L,250
DCTN1,1639,Dynactin subunit 1,250 ng/L,250
PRKDC,5591,"Protein kinase, DNA-activated, catalytic subunit",250 ng/L,250
TM9SF3,56889,Transmembrane 9 superfamily member 3,240 ng/L,240
CIRBP,1153,Cold inducible RNA binding protein,240 ng/L,240
HAO1,54363,Hydroxyacid oxidase 1,240 ng/L,240
EMD,2010,Emerin,240 ng/L,240
FCER2,2208,Fc fragment of IgE receptor II,240 ng/L,240
NPDC1,56654,"Neural proliferation, differentiation and control 1",240 ng/L,240
VNN2,8875,Vanin 2,240 ng/L,240
AGMAT,79814,Agmatinase,240 ng/L,240
UFM1,51569,Ubiquitin fold modifier 1,240 ng/L,240
ECHDC2,55268,Enoyl-CoA hydratase domain containing 2,240 ng/L,240
VAPB,9217,VAMP associated protein B and C,240 ng/L,240
PPT1,5538,Palmitoyl-protein thioesterase 1,240 ng/L,240
IAH1,285148,Isoamyl acetate hydrolyzing esterase 1 (putative),240 ng/L,240
GLCE,26035,Glucuronic acid epimerase,240 ng/L,240
GUK1,2987,Guanylate kinase 1,240 ng/L,240
ENOPH1,58478,Enolase-phosphatase 1,240 ng/L,240
CAMK2D,817,Calcium/calmodulin dependent protein kinase II delta,240 ng/L,240
DOK3,79930,Docking protein 3,240 ng/L,240
PDLIM3,27295,PDZ and LIM domain 3,240 ng/L,240
STC1,6781,Stanniocalcin 1,240 ng/L,240
SCRG1,11341,Stimulator of chondrogenesis 1,240 ng/L,240
HDHD2,84064,Haloacid dehalogenase like hydrolase domain containing 2,240 ng/L,240
OLFML2A,169611,Olfactomedin like 2A,240 ng/L,240
S100A3,6274,S100 calcium binding protein A3,240 ng/L,240
MYBPC1,4604,Myosin binding protein C1,240 ng/L,240
GMFB,2764,Glia maturation factor beta,240 ng/L,240
MT-CO2,4513,Mitochondrially encoded cytochrome c oxidase II,240 ng/L,240
HLA-DPA1,3113,"Major histocompatibility complex, class II, DP alpha 1",240 ng/L,240
YBX3,8531,Y-box binding protein 3,230 ng/L,230
ELAVL1,1994,ELAV like RNA binding protein 1,230 ng/L,230
FERMT2,10979,Fermitin family member 2,230 ng/L,230
DNM2,1785,Dynamin 2,230 ng/L,230
TOMM22,56993,Translocase of outer mitochondrial membrane 22,230 ng/L,230
AMPD2,271,Adenosine monophosphate deaminase 2,230 ng/L,230
SARDH,1757,Sarcosine dehydrogenase,230 ng/L,230
CHMP2A,27243,Charged multivesicular body protein 2A,230 ng/L,230
C9orf40,55071,Chromosome 9 open reading frame 40,230 ng/L,230
LACRT,90070,Lacritin,230 ng/L,230
COX5B,1329,Cytochrome c oxidase subunit 5B,230 ng/L,230
SPINK7,84651,Serine peptidase inhibitor Kazal type 7,230 ng/L,230
AIFM1,9131,Apoptosis inducing factor mitochondria associated 1,230 ng/L,230
BMP10,27302,Bone morphogenetic protein 10,230 ng/L,230
PSMD1,5707,"Proteasome 26S subunit, non-ATPase 1",230 ng/L,230
SRL,6345,Sarcalumenin,230 ng/L,230
VTA1,51534,Vesicle trafficking 1,220 ng/L,220
PGM3,5238,Phosphoglucomutase 3,220 ng/L,220
CUL1,8454,Cullin 1,220 ng/L,220
ISOC2,79763,Isochorismatase domain containing 2,220 ng/L,220
IRAG1,10335,"Inositol 1,4,5-triphosphate receptor associated 1",220 ng/L,220
PFDN4,5203,Prefoldin subunit 4,220 ng/L,220
NEFM,4741,Neurofilament medium,220 ng/L,220
ATP1A3,478,ATPase Na+/K+ transporting subunit alpha 3,220 ng/L,220
CTH,1491,Cystathionine gamma-lyase,220 ng/L,220
VAMP8,8673,Vesicle associated membrane protein 8,220 ng/L,220
ETF1,2107,Eukaryotic translation termination factor 1,220 ng/L,220
IMMT,10989,Inner membrane mitochondrial protein,220 ng/L,220
COX17,10063,Cytochrome c oxidase copper chaperone COX17,220 ng/L,220
EFHD2,79180,EF-hand domain family member D2,220 ng/L,220
MINDY1,55793,MINDY lysine 48 deubiquitinase 1,220 ng/L,220
ZNF185,7739,Zinc finger protein 185 with LIM domain,220 ng/L,220
DOK2,9046,Docking protein 2,220 ng/L,220
PROSER2,254427,Proline and serine rich 2,220 ng/L,220
TMED10,10972,Transmembrane p24 trafficking protein 10,220 ng/L,220
FGGY,55277,FGGY carbohydrate kinase domain containing,220 ng/L,220
UBE2O,63893,Ubiquitin conjugating enzyme E2 O,220 ng/L,220
ERBB4,2066,Erb-b2 receptor tyrosine kinase 4,220 ng/L,220
PENK,5179,Proenkephalin,220 ng/L,220
C1orf68,100129271,Chromosome 1 open reading frame 68,220 ng/L,220
IPO7,10527,Importin 7,220 ng/L,220
CNPY2,10330,Canopy FGF signaling regulator 2,220 ng/L,220
RPS20,6224,Ribosomal protein S20,210 ng/L,210
CD74,972,CD74 molecule,210 ng/L,210
OSTM1,28962,Osteoclastogenesis associated transmembrane protein 1,210 ng/L,210
CSTF1,1477,Cleavage stimulation factor subunit 1,210 ng/L,210
GSPT1,2935,G1 to S phase transition 1,210 ng/L,210
SLAIN2,57606,SLAIN motif family member 2,210 ng/L,210
PRKAR2A,5576,Protein kinase cAMP-dependent type II regulatory subunit alpha,210 ng/L,210
DARS1,1615,Aspartyl-tRNA synthetase 1,210 ng/L,210
MFAP2,4237,Microfibril associated protein 2,210 ng/L,210
FLT3,2322,Fms related receptor tyrosine kinase 3,210 ng/L,210
ANXA11,311,Annexin A11,210 ng/L,210
INHBA,3624,Inhibin subunit beta A,210 ng/L,210
EIF2S1,1965,Eukaryotic translation initiation factor 2 subunit alpha,210 ng/L,210
RPS15A,6210,Ribosomal protein S15a,210 ng/L,210
LRPPRC,10128,Leucine rich pentatricopeptide repeat containing,210 ng/L,210
CRB2,286204,Crumbs cell polarity complex component 2,210 ng/L,210
PLCB3,5331,Phospholipase C beta 3,210 ng/L,210
EIF5B,9669,Eukaryotic translation initiation factor 5B,210 ng/L,210
COX6C,1345,Cytochrome c oxidase subunit 6C,210 ng/L,210
LY6D,8581,Lymphocyte antigen 6 family member D,210 ng/L,210
EIF1,10209,Eukaryotic translation initiation factor 1,210 ng/L,210
CRLF3,51379,Cytokine receptor like factor 3,210 ng/L,210
HEPACAM2,253012,HEPACAM family member 2,210 ng/L,210
TPK1,27010,Thiamin pyrophosphokinase 1,210 ng/L,210
KRT39,390792,Keratin 39,210 ng/L,210
SVIL,6840,Supervillin,210 ng/L,210
SERPINB13,5275,Serpin family B member 13,210 ng/L,210
PSMC4,5704,"Proteasome 26S subunit, ATPase 4",200 ng/L,200
STRAP,11171,Serine/threonine kinase receptor associated protein,200 ng/L,200
GAL,51083,Galanin and GMAP prepropeptide,200 ng/L,200
ITGA8,8516,Integrin subunit alpha 8,200 ng/L,200
MLN,4295,Motilin,200 ng/L,200
NDRG1,10397,N-myc downstream regulated 1,200 ng/L,200
CARS1,833,Cysteinyl-tRNA synthetase 1,200 ng/L,200
LOXL3,84695,Lysyl oxidase like 3,200 ng/L,200
DDX39A,10212,DExD-box helicase 39A,200 ng/L,200
POF1B,79983,POF1B actin binding protein,200 ng/L,200
UBQLN1,29979,Ubiquilin 1,200 ng/L,200
DENR,8562,Density regulated re-initiation and release factor,200 ng/L,200
CAMK2G,818,Calcium/calmodulin dependent protein kinase II gamma,200 ng/L,200
CD1C,911,CD1c molecule,200 ng/L,200
LGALS4,3960,Galectin 4,200 ng/L,200
PC,5091,Pyruvate carboxylase,200 ng/L,200
TANGO2,128989,Transport and golgi organization 2 homolog,200 ng/L,200
HLA-DQA1,3117,"Major histocompatibility complex, class II, DQ alpha 1",200 ng/L,200
CTNND1,1500,Catenin delta 1,200 ng/L,200
RCSD1,92241,RCSD domain containing 1,200 ng/L,200
ASPDH,554235,Aspartate dehydrogenase domain containing,200 ng/L,200
PLEKHO2,80301,Pleckstrin homology domain containing O2,200 ng/L,200
NEFL,4747,Neurofilament light,200 ng/L,200
GPC4,2239,Glypican 4,190 ng/L,190
ERH,2079,ERH mRNA splicing and mitosis factor,190 ng/L,190
PSMD7,5713,"Proteasome 26S subunit, non-ATPase 7",190 ng/L,190
RPS13,6207,Ribosomal protein S13,190 ng/L,190
PDCD10,11235,Programmed cell death 10,190 ng/L,190
TMPO,7112,Thymopoietin,190 ng/L,190
SBDS,51119,SBDS ribosome maturation factor,190 ng/L,190
DSG3,1830,Desmoglein 3,190 ng/L,190
NPL,80896,N-acetylneuraminate pyruvate lyase,190 ng/L,190
MYOF,26509,Myoferlin,190 ng/L,190
PRKCA,5578,Protein kinase C alpha,190 ng/L,190
SCUBE1,80274,"Signal peptide, CUB domain and EGF like domain containing 1",190 ng/L,190
PSMC2,5701,"Proteasome 26S subunit, ATPase 2",190 ng/L,190
RPL29,6159,Ribosomal protein L29,190 ng/L,190
COPS2,9318,COP9 signalosome subunit 2,190 ng/L,190
CA4,762,Carbonic anhydrase 4,190 ng/L,190
RPL13,6137,Ribosomal protein L13,190 ng/L,190
HARS1,3035,Histidyl-tRNA synthetase 1,190 ng/L,190
INSR,3643,Insulin receptor,190 ng/L,190
PPP1R14B,26472,Protein phosphatase 1 regulatory inhibitor subunit 14B,190 ng/L,190
CCS,9973,Copper chaperone for superoxide dismutase,190 ng/L,190
PITPNA,5306,Phosphatidylinositol transfer protein alpha,190 ng/L,190
LRRC19,64922,Leucine rich repeat containing 19,190 ng/L,190
S100A16,140576,S100 calcium binding protein A16,190 ng/L,190
C4orf48,401115,Chromosome 4 open reading frame 48,190 ng/L,190
ADAM22,53616,ADAM metallopeptidase domain 22,180 ng/L,180
ADGRL1,22859,Adhesion G protein-coupled receptor L1,180 ng/L,180
EIF3B,8662,Eukaryotic translation initiation factor 3 subunit B,180 ng/L,180
MYL2,4633,Myosin light chain 2,180 ng/L,180
SPR,6697,Sepiapterin reductase,180 ng/L,180
ST6GALNAC5,81849,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5",180 ng/L,180
CBX3,11335,Chromobox 3,180 ng/L,180
EML2,24139,EMAP like 2,180 ng/L,180
GNAZ,2781,G protein subunit alpha z,180 ng/L,180
MAP1B,4131,Microtubule associated protein 1B,180 ng/L,180
UQCRC2,7385,Ubiquinol-cytochrome c reductase core protein 2,180 ng/L,180
BTF3,689,Basic transcription factor 3,180 ng/L,180
TNKS1BP1,85456,Tankyrase 1 binding protein 1,180 ng/L,180
CLIC6,54102,Chloride intracellular channel 6,180 ng/L,180
SRSF2,6427,Serine and arginine rich splicing factor 2,180 ng/L,180
RPL9,6133,Ribosomal protein L9,180 ng/L,180
FN3K,64122,Fructosamine 3 kinase,180 ng/L,180
RPL38,6169,Ribosomal protein L38,180 ng/L,180
C1orf116,79098,Chromosome 1 open reading frame 116,180 ng/L,180
RPS23,6228,Ribosomal protein S23,180 ng/L,180
NEU1,4758,Neuraminidase 1,180 ng/L,180
ITGA3,3675,Integrin subunit alpha 3,170 ng/L,170
ATP1A2,477,ATPase Na+/K+ transporting subunit alpha 2,170 ng/L,170
PRKACA,5566,Protein kinase cAMP-activated catalytic subunit alpha,170 ng/L,170
TTC38,55020,Tetratricopeptide repeat domain 38,170 ng/L,170
CPOX,1371,Coproporphyrinogen oxidase,170 ng/L,170
HMOX1,3162,Heme oxygenase 1,170 ng/L,170
RAB2A,5862,"RAB2A, member RAS oncogene family",170 ng/L,170
ETFB,2109,Electron transfer flavoprotein subunit beta,170 ng/L,170
ATP5PB,515,ATP synthase peripheral stalk-membrane subunit b,170 ng/L,170
